CPF,NOME,DATA DE NASCIMENTO,RUA,BAIRRO,CIDADE,ESTADO,TELEFONE,EMAIL,PESQUISA,CANAL DE ATEDIMENTO,MÊS,CARGO,ATENDENTE,RENDA
924.036.517-61,Sara Porto,1954-03-04,"Sítio Rocha, 90",Vila Nossa Senhora Do Rosário,Brito do Amparo,Ceará,+55 78 99130-0032,machadoisadora@example.com,Bom,Email,3,Engenheiro de minas,3,6764
324.059.187-14,Pedro Miguel Barros,1988-11-29,"Estação de Moraes, 47",Nova Vista,Novais,Piauí,+55 (013) 96867-0018,xporto@example.com,Péssimo,Call,8,Agente de viagens,10,9432
907.465.312-06,Esther da Rosa,2004-04-18,"Lago de Costela, 6",Conjunto Minas Caixa,Novais,Piauí,+55 76 93424-8139,ana-sophiaoliveira@example.net,Ótimo,Call,7,Atendente,4,9104
489.602.315-33,Pedro Miguel Câmara,1993-01-03,"Área Bento Freitas, 446",Floresta,da Conceição Verde,Maranhão,+55 (91) 96021 5852,marcos-viniciusferreira@example.net,Bom,Email,12,Odontopediatra,5,5875
142.950.637-70,Helena Viana,1990-10-08,Viaduto da Mata,Esplanada,Cirino de Novaes,Rio Grande do Sul,+55 78 9 9320-8194,souzaisabella@example.com,Ruim,Call,10,Policial federal,4,3349
589.376.412-91,Catarina Montenegro,1973-07-19,"Vereda Mendes, 547",Leticia,Guerra,São Paulo,+55 (96) 99810 4302,stellarezende@example.net,Ruim,Call,7,Meeiro,6,4039
638.524.917-46,Liam Cavalcante,1964-11-10,"Conjunto de Vasconcelos, 40",São Jorge 3ª Seção,Rezende,São Paulo,+55 (61) 9 2137-2126,isaquecorreia@example.org,Ruim,Call,12,Profissional de relações públicas,1,1738
523.108.764-53,Larissa Vargas,1948-03-07,"Jardim Andrade, 38",Minas Brasil,Rezende do Oeste,Maranhão,+55 14 94165 4450,bianca85@example.net,Ruim,Call,7,Embalador,10,9289
256.781.930-40,Mariane Marques,1992-08-05,Avenida de Nogueira,Vila Trinta E Um De Março,Andrade de Cassiano,Goiás,+55 03 9 9759 3351,ana-lizduarte@example.com,Regular,Chat,5,Juiz ou árbitro de futebol,9,2856
278.543.019-05,Letícia Cavalcanti,1946-12-24,"Vila de Rezende, 52",Antonio Ribeiro De Abreu 1ª Seção,da Mota de Castro,São Paulo,+55 (26) 97896-2237,zcardoso@example.net,Ruim,Call,6,Taxidermista/Embalsamador,1,7087
086.329.475-83,Oliver Jesus,1997-12-04,"Feira Vargas, 62",Boa Esperança,Fonseca,Amapá,+55 97 9 2292 7590,fmarques@example.com,Ótimo,Call,7,Podólogo,2,2195
819.703.642-03,Lucca Siqueira,1969-01-24,"Campo de Ferreira, 38",São Damião,da Mata Grande,Piauí,+55 04 94579-6665,cribeiro@example.net,Regular,Call,8,Árbitro e mediador,6,6186
213.479.065-25,Allana Martins,1999-04-28,"Rodovia Pimenta, 4",Comiteco,Freitas,Paraná,+55 (27) 98356-5887,lorena77@example.org,Ruim,Email,2,Cartógrafo,1,5261
610.285.374-17,Marina Farias,1963-08-17,Trecho de da Costa,Etelvina Carneiro,Mendonça,Amapá,+55 (87) 9 1124 1131,antonyda-paz@example.net,Ruim,Email,12,Agente de defesa sanitária animal,10,8945
398.427.156-55,Maria Flor Cavalcanti,1991-07-11,"Fazenda de da Rosa, 5",Satelite,Ribeiro,São Paulo,+55 (71) 90737-0670,anna-lizda-rosa@example.com,Ótimo,Call,8,Microfonista,4,2802
706.145.823-26,Sr. Gael Henrique da Cruz,1986-02-14,"Feira Jesus, 89",Zilah Sposito,Vasconcelos,Tocantins,+55 (042) 96264-9661,marquesoliver@example.net,Bom,Email,1,Programador,7,8011
801.924.753-04,Bárbara Novaes,1965-07-26,"Viaduto Isabella Borges, 21",Santa Amelia,Freitas,Sergipe,+55 19 9 4262 3718,cribeiro@example.com,Ótimo,Call,6,Compositor,3,8052
097.586.423-83,Dr. Josué Rodrigues,1983-03-15,"Avenida da Conceição, 71",Boa União 2ª Seção,Sales de Minas,Pernambuco,+55 (82) 9 1108-9790,stephany98@example.org,Ótimo,Chat,10,Militar do Exército,5,3558
549.286.731-82,Hadassa Teixeira,1962-07-02,"Passarela de da Rosa, 7",Conjunto Bonsucesso,Azevedo de Costela,Piauí,+55 (066) 99318-2080,caleb18@example.com,Ótimo,Email,7,Catador de carangueijos,7,6565
326.514.890-42,Dr. Vinícius Araújo,2001-02-12,"Chácara Casa Grande, 70",Santana Do Cafezal,Sá de Goiás,Tocantins,+55 94 94778 7854,maria-juliasantos@example.org,Ruim,Email,8,Jogador de futebol,6,9455
409.783.621-87,Jade Barros,2003-06-27,"Vereda Ana Luiza Alves, 22",Conjunto Celso Machado,Cunha,Minas Gerais,+55 (01) 9 8676 4251,davi-lucca41@example.org,Ótimo,Chat,2,Escultor,7,9917
472.560.398-83,Natália Barros,1996-12-12,Viela Souza,Vila Petropolis,da Conceição,Roraima,+55 (74) 90670-3702,qrios@example.com,Ótimo,Call,11,Escriturário,3,4689
327.049.186-78,Rafael Cardoso,1945-08-04,Morro Borges,Ambrosina,Lima,Rio Grande do Sul,+55 (23) 92874 2320,camargoheitor@example.net,Péssimo,Call,1,Delegado,6,1512
608.945.317-00,Melissa da Mata,1997-02-11,"Praça de Machado, 392",Vila Piratininga Venda Nova,Andrade Paulista,Mato Grosso do Sul,+55 44 9 7736-9177,guilhermeporto@example.org,Ótimo,Chat,8,Cumim,5,7190
351.602.847-53,Sra. Antonella da Rosa,1967-03-31,"Travessa de Câmara, 12",Confisco,da Rosa de Minas,Minas Gerais,+55 (77) 9 9893-6531,yasminfonseca@example.com,Bom,Call,7,Sociólogo,3,5882
412.596.703-25,Samuel da Costa,1963-11-18,Recanto Stella da Cunha,Universo,Sá do Norte,Goiás,+55 73 9 0893 6778,matteoda-cruz@example.org,Péssimo,Call,7,Promotor público/de justiça,9,5727
189.567.320-86,Emilly Garcia,1967-04-11,Distrito Lima,Pousada Santo Antonio,Fogaça do Norte,Santa Catarina,+55 (56) 99688 4315,mendoncabenicio@example.net,Regular,Call,1,Recepcionista,9,6759
027.943.516-99,Stella Cunha,1948-12-28,Viela de Cassiano,Suzana,Carvalho,Amazonas,+55 01 96507-9956,vieiramariah@example.com,Ruim,Call,12,Engenheiro de energia,7,8581
690.512.783-30,Asafe Costa,1974-03-17,"Fazenda Marcelo Castro, 56",Campo Alegre,Garcia,Amapá,+55 80 95776 3800,azevedoluana@example.com,Ruim,Call,10,Jogador de boliche,8,6567
698.214.350-33,Bárbara Rezende,1965-06-16,"Colônia Machado, 407",Comiteco,Santos de Moreira,Espírito Santo,+55 16 92037-0680,ucamargo@example.net,Ótimo,Call,9,Investigador de Polícia,2,4888
284.609.135-89,Maria Cecília Machado,1984-02-29,"Morro de Lopes, 89",Inconfidência,Nunes,Minas Gerais,+55 (55) 9 9986 4985,campospedro-lucas@example.com,Ruim,Chat,3,Estampador de tecidos,2,8245
375.896.241-28,Benjamim Sousa,1978-06-29,"Chácara Viana, 42",Nossa Senhora Da Aparecida,Aragão de Novais,Santa Catarina,+55 29 9 9231-5809,fariasbenjamin@example.org,Ótimo,Chat,10,Ourives,1,8596
724.091.568-94,Fernanda Cirino,1988-03-08,"Condomínio de Novais, 48",Conjunto Paulo Vi,da Mota Paulista,Espírito Santo,+55 (09) 97240-8088,wmartins@example.com,Bom,Chat,8,Gagsman,5,3400
906.587.142-01,Sr. Ravi Lucca da Rosa,1988-08-20,"Passarela Bruna Silva, 86",Andiroba,Alves,Rio Grande do Norte,+55 52 9 4598 7457,melissaaragao@example.org,Péssimo,Email,9,Técnico de gesso,9,3461
147.609.583-39,Yasmin Pinto,2001-05-31,"Fazenda Mendes, 51",Vila Jardim Alvorada,da Cunha de Cavalcanti,Roraima,+55 97 98996-4967,ana-claraandrade@example.net,Ruim,Call,8,Radiologista,9,1616
792.841.650-67,Maria Flor Moraes,1991-12-19,"Vale Mateus Costa, 62",Vila Aeroporto,Vieira do Campo,Rio de Janeiro,+55 41 95578-6324,gomeslevi@example.net,Ruim,Email,6,Maitre,5,7540
984.256.017-11,Isabela Sampaio,1992-07-25,Conjunto Pereira,Colégio Batista,da Rosa da Mata,Rondônia,+55 97 9 4808 6013,emanuel36@example.net,Bom,Email,8,Tecnólogo em irrigação e drenagem,4,8078
809.416.257-02,Srta. Emanuella Câmara,1986-04-30,"Via Maria Luiza Moura, 491",Vila Jardim Leblon,Cavalcante das Flores,Paraíba,+55 (055) 92042 2334,jcavalcanti@example.com,Ruim,Email,1,Tecnólogo em silvicultura,6,3357
814.735.926-82,Dr. Renan Pastor,1946-06-07,"Campo Gael Sousa, 95",Vila Nova,Câmara de Pacheco,São Paulo,+55 (006) 96384-8570,gustavomelo@example.com,Ótimo,Call,7,Presidente da República,2,4230
246.351.708-53,Guilherme Aparecida,1953-07-20,"Trevo de Novaes, 79",Distrito Industrial Do Jatoba,Duarte,Pará,+55 04 9 3075 5711,gaelmachado@example.org,Ótimo,Email,7,Engenheiro de energia,4,6806
714.285.930-04,Júlia Vieira,1946-09-28,"Residencial Freitas, 71",Jaraguá,Teixeira,Minas Gerais,+55 (53) 9 9363-1484,oliveiradavi-lucca@example.org,Ruim,Chat,10,Engenheiro elétrico,2,6155
164.528.390-98,Ana Clara da Cruz,1949-01-21,"Praça de Mendonça, 39",Conjunto Califórnia I,da Cunha das Pedras,Mato Grosso do Sul,+55 (081) 95723 0657,nicolealves@example.net,Regular,Call,7,Fisioterapeuta,6,3063
028.594.763-00,Murilo Garcia,1966-09-19,"Viaduto Siqueira, 50",Vila Ouro Minas,Siqueira da Mata,Bahia,+55 (62) 9 9097 3875,da-costaana-beatriz@example.com,Regular,Email,12,Continuista,1,9162
358.417.620-44,Sr. Isaac da Paz,1998-03-23,"Quadra Costa, 539",Bom Jesus,Casa Grande de Minas,Pernambuco,+55 (00) 9 6030-6465,sofiabrito@example.net,Péssimo,Chat,4,Esteticista,9,4955
734.615.098-84,Ana Vitória Andrade,2004-11-16,"Campo de da Rocha, 64",Vila Jardim Montanhes,Jesus,Amazonas,+55 (082) 90391-6093,joana85@example.com,Péssimo,Email,4,Coach,1,5768
862.157.904-94,Vitor Gabriel Peixoto,1983-09-12,"Feira Moura, 57",Granja De Freitas,Pinto,Mato Grosso,+55 (064) 97222-8618,valentina90@example.com,Péssimo,Email,12,Profissional de hotelaria,6,5325
248.095.163-42,Isabela Carvalho,1969-06-23,"Praça de Melo, 3",Chácara Leonina,Pires,Espírito Santo,+55 (041) 98620-9279,qcastro@example.com,Ótimo,Call,11,Eletricista,3,2298
845.720.169-76,Ana Clara Fonseca,1963-12-22,"Rodovia Santos, 67",Vila Madre Gertrudes 3ª Seção,Câmara Verde,Minas Gerais,+55 (58) 92904 5125,rochayasmin@example.com,Ótimo,Chat,5,Atleta de nado sincronizado,3,5123
812.534.967-73,Davi Lucas Mendonça,1999-12-15,"Estrada Breno Moraes, 18",Universo,Câmara,Pernambuco,+55 (76) 9 7618 6252,vieiracecilia@example.org,Regular,Chat,9,Assessor parlamentar,8,4560
964.572.318-37,Sr. Henry Gabriel Jesus,1982-04-12,"Via de da Mata, 10",Cônego Pinheiro 1ª Seção,Brito,Paraíba,+55 (97) 95895 4183,da-cunhadavi@example.net,Bom,Call,8,Ciclista,7,4829
257.193.408-23,Dra. Ísis Mendes,1973-02-14,"Via Thiago Farias, 48",Mirante,Macedo,Paraná,+55 63 90587-4616,woliveira@example.net,Regular,Email,12,Geriatra,8,1754
807.249.356-65,Luiz Gustavo Pereira,1962-06-14,"Fazenda Nicole Moraes, 3",Horto Florestal,Cunha das Pedras,Sergipe,+55 30 9 6503 2053,vieirajoaquim@example.org,Ótimo,Chat,1,Entalhador,9,6063
702.893.154-41,Catarina Sousa,1960-05-26,"Sítio Brenda Freitas, 633",Lindéia,Gomes da Prata,Paraná,+55 (71) 98246-2524,barrosluiz-gustavo@example.net,Ruim,Call,7,Pastilheiro,2,4130
873.061.495-39,Dr. Alexandre Aragão,2003-08-01,"Lagoa Yago Martins, 7",Varzea Da Palma,Sampaio,Minas Gerais,+55 (53) 99551-0121,mateus20@example.net,Péssimo,Call,3,Coach,10,3756
027.316.854-17,Larissa da Conceição,1977-08-19,"Quadra de Carvalho, 94",Diamante,Lima,Rondônia,+55 43 97101-4751,bpeixoto@example.net,Bom,Call,9,Gastrônomo,2,8835
713.809.256-30,Enzo Gabriel Gomes,2003-11-11,"Rua de Pastor, 6",Floramar,Silva do Campo,Piauí,+55 32 9 5806-8561,rodriguesvalentina@example.net,Bom,Email,6,Empacotador,4,5523
481.632.507-71,Vinicius Aparecida,1963-03-29,"Via Daniel Fogaça, 44",Pindura Saia,da Conceição,Piauí,+55 (64) 9 7763 1180,eduardomonteiro@example.com,Regular,Email,11,Policial militar,5,1550
971.432.605-25,Davi Luiz Pimenta,1967-09-12,"Aeroporto Rocha, 6",Salgado Filho,Vasconcelos,Goiás,+55 (027) 97925-7117,gmarques@example.org,Bom,Call,3,Coach,10,9201
475.389.216-64,Asafe Pinto,1946-08-19,"Rodovia Cirino, 5",Renascença,Costela,Mato Grosso do Sul,+55 59 96340-4264,lizgomes@example.net,Péssimo,Call,5,Leiteiro,5,9226
529.783.064-83,Antony Pimenta,1991-09-09,"Lagoa da Cruz, 10",Itaipu,Casa Grande do Campo,Mato Grosso do Sul,+55 (09) 9 6955-2361,asilveira@example.net,Ótimo,Call,2,Auditor,3,8551
152.378.906-95,Lavínia Ramos,2004-12-22,"Área Silva, 50",Vila Calafate,Novais dos Dourados,Maranhão,+55 (62) 9 7794-1557,antonellaviana@example.com,Bom,Email,5,Clarinetista,9,3206
827.903.164-22,Dra. Aurora Melo,1944-08-05,"Núcleo de Rodrigues, 34",Flavio Marques Lisboa,Lima,Roraima,+55 (89) 91190-3571,gustavo65@example.org,Regular,Email,4,Lixeiro/Coletor de lixo,3,3022
089.752.136-68,Srta. Mariana Gomes,1954-12-11,"Núcleo Pedro Miguel Sales, 68",Dona Clara,Moreira de das Neves,Mato Grosso,+55 (72) 9 5529-1223,enricorodrigues@example.net,Péssimo,Email,9,Produtor de eventos,5,6501
508.374.162-80,Bryan Araújo,1970-03-24,"Lago Freitas, 72",Conjunto Santa Maria,Cirino,Santa Catarina,+55 (57) 93630-8453,fariasisaac@example.net,Ótimo,Call,11,Recreador,1,8931
624.198.350-42,Felipe Câmara,2004-07-17,"Vale Gustavo Henrique Moraes, 10",Antonio Ribeiro De Abreu 1ª Seção,Aparecida de Minas,Goiás,+55 (90) 9 7661-9615,sarahcosta@example.org,Ótimo,Call,4,Enfermeiro,1,9255
351.706.289-86,Nicolas Moura,2001-01-09,"Esplanada de Cirino, 488",Conjunto Floramar,Teixeira,Amazonas,+55 (09) 96837-4811,sabrina78@example.com,Ótimo,Chat,8,Capoeirista,5,7718
405.613.927-06,Anna Liz Monteiro,1965-03-21,"Campo de Aragão, 86",Vista Alegre,Almeida,Rio de Janeiro,+55 (72) 92592 0897,pfernandes@example.org,Ruim,Chat,1,Agente de defesa sanitária animal,9,6038
831.059.762-21,Luna Duarte,1973-08-09,"Viela de da Paz, 4",Aeroporto,Novaes Paulista,Acre,+55 95 98723-0069,bcarvalho@example.org,Bom,Email,9,Auxiliar de reprografia,4,7745
305.968.241-06,Yuri Cunha,1969-01-16,"Campo de da Paz, 7",Juliana,Souza de Sousa,Amazonas,+55 (27) 92818-0193,cavalcantimarina@example.net,Ruim,Call,10,Militar da Aeronáutica,7,2534
743.518.906-57,Anna Liz Borges,1993-12-12,Jardim Maria Júlia da Conceição,Alípio De Melo,da Paz da Serra,Sergipe,+55 91 95656-8183,luigicamargo@example.com,Ruim,Chat,10,Técnico em arquivo,2,2569
381.745.069-93,Dom Pacheco,1945-10-10,"Vale Rafaela Souza, 32",Paquetá,Pacheco,São Paulo,+55 (093) 99713 3680,balbuquerque@example.net,Ótimo,Email,8,Cartógrafo,5,4964
542.930.768-83,Oliver Viana,1974-01-17,"Lagoa Casa Grande, 5",Vila Nova Cachoeirinha 2ª Seção,Albuquerque,Pernambuco,+55 (53) 9 9417 3763,montenegrojuan@example.net,Péssimo,Email,11,Agente de defesa sanitária,4,8379
786.593.210-30,Kaique Brito,1990-11-25,"Núcleo de Alves, 45",Dom Silverio,Vargas,Alagoas,+55 (33) 9 9514 4419,larapires@example.org,Bom,Email,10,Deputado,3,1777
